date,precipitation,temp_max,temp_min,wind,weather
22-08-2012,0,27.8,19.4,3,sun
23-08-2012,0,27.8,20,3.6,sun
24-08-2012,0,29.4,20,2.4,sun
25-08-2012,0,28.9,21.1,3.6,sun
26-08-2012,0,27.2,19.4,3.6,sun
27-08-2012,13.2,27.8,20.6,4.3,rain
28-08-2012,2.5,31.7,23.3,5.9,rain
29-08-2012,0,26.1,19.4,3.4,sun
30-08-2012,0,28.9,16.7,4.3,sun
31-08-2012,0,32.2,18.3,6,sun
01-09-2012,0,33.3,22.8,4.9,sun
02-09-2012,0,27.2,21.7,3,rain
03-09-2012,15,24.4,21.1,5.3,rain
04-09-2012,15.7,26.7,21.7,4.4,rain
05-09-2012,4.1,28.9,22.2,4.4,rain
06-09-2012,0,26.7,20.6,2.4,sun
07-09-2012,0,28.3,21.1,4.2,drizzle
08-09-2012,7.6,28.3,18.9,7.2,rain
09-09-2012,0,24.4,18.3,3.4,rain
10-09-2012,0,23.9,15,6.4,sun
11-09-2012,0,24.4,12.2,3,sun
12-09-2012,0,25,15.6,3,sun
13-09-2012,0,24.4,16.7,3.7,sun
14-09-2012,0,25,17.2,4.4,sun
15-09-2012,0,23.9,16.1,6,sun
16-09-2012,0,23.9,14.4,3.6,sun
17-09-2012,0,24.4,13.3,3.5,sun
18-09-2012,40.1,25.6,20,10.4,rain
19-09-2012,0.3,22.2,13.9,5.2,rain
20-09-2012,0,21.7,12.2,4.3,rain
21-09-2012,0,22.2,13.9,3.1,sun
22-09-2012,7.4,24.4,13.3,5.4,rain
23-09-2012,0,21.1,13.3,5.1,sun
24-09-2012,0,20.6,11.1,3.8,sun
25-09-2012,0,22.8,13.3,7.2,sun
26-09-2012,0.8,23.9,18.3,5.2,rain
27-09-2012,0,25,18.9,3,rain
28-09-2012,11.2,23.3,16.7,4.8,rain
29-09-2012,0.8,18.9,15,2.8,rain
30-09-2012,0,21.1,13.9,4.1,rain
01-10-2012,0,22.2,12.2,5.1,sun
02-10-2012,8.4,21.7,17.2,2.6,rain
03-10-2012,0,23.3,18.3,1.7,drizzle
04-10-2012,10.4,23.9,19.4,1.5,rain
05-10-2012,0,25,16.1,3.5,drizzle
06-10-2012,0,24.4,12.2,5.8,sun
07-10-2012,4.1,13.3,8.3,3,rain
08-10-2012,0,13.3,7.2,2.3,sun
09-10-2012,0.8,15,11.1,4.9,rain
10-10-2012,5.6,20,12.2,6,rain
11-10-2012,0,15.6,8.9,6.4,sun
12-10-2012,0,15.6,6.1,6.6,rain
13-10-2012,0,12.8,2.8,4.1,sun
14-10-2012,0,22.2,12.8,7.5,sun
15-10-2012,4.6,20.6,16.1,6.3,rain
16-10-2012,0,16.1,8.9,6.7,sun
17-10-2012,0,15.6,5.6,2.2,sun
18-10-2012,0.5,18.9,7.2,3.7,rain
19-10-2012,7.1,19.4,16.7,5.9,rain
20-10-2012,0,21.1,12.8,4.2,drizzle
21-10-2012,0,20,10.6,5.1,sun
22-10-2012,0,20.6,10.6,5.2,sun
23-10-2012,0.8,18.9,11.1,1.5,rain
24-10-2012,0,16.7,13.9,2.5,rain
25-10-2012,0,16.7,12.2,2.5,sun
26-10-2012,0,21.7,13.9,1.6,sun
27-10-2012,0,19.4,15,3.4,sun
28-10-2012,0,15.6,11.7,8.4,rain
29-10-2012,13,18.9,11.1,16.2,rain
30-10-2012,1,15,8.9,9.1,rain
31-10-2012,0.3,11.1,7.8,5.3,rain
01-11-2012,0,11.1,7.2,6.3,sun
02-11-2012,0,12.2,6.1,6.5,rain
03-11-2012,0,11.1,5,7.3,sun
04-11-2012,0,11.7,3.9,5.7,sun
05-11-2012,0,8.3,2.2,6,sun
06-11-2012,0,7.2,-0.6,3.4,sun
07-11-2012,24.6,5,0,9.7,snow
08-11-2012,1,7.2,0,7.7,snow
09-11-2012,0,11.7,1.7,5.9,sun
10-11-2012,0,12.2,5.6,2.6,drizzle
11-11-2012,0,15.6,5,4.1,drizzle
12-11-2012,0,17.2,7.8,4.5,drizzle
13-11-2012,2,14.4,4.4,6,rain
14-11-2012,0,9.4,2.8,4.9,sun
15-11-2012,0,7.2,2.2,2.8,sun
16-11-2012,0,8.9,2.2,3.7,sun
17-11-2012,0,11.7,2.2,3.3,sun
18-11-2012,0,10.6,2.8,3.4,sun
19-11-2012,0,8.9,3.3,4.6,sun
20-11-2012,0,11.7,2.8,2.8,sun
21-11-2012,0,12.2,3.3,3.4,sun
22-11-2012,0,12.8,3.3,2.2,fog
23-11-2012,0.8,11.7,1.1,3,rain
24-11-2012,0.3,9.4,2.2,8.8,snow
25-11-2012,0,6.1,1.1,7.8,sun
26-11-2012,0,9.4,1.7,4.3,sun
27-11-2012,10.9,5.6,2.2,3.8,snow
28-11-2012,0,6.7,1.1,4.9,sun
29-11-2012,0,6.7,1.1,5.7,sun
30-11-2012,0,8.3,0.6,3.6,sun
01-12-2012,0,7.2,3.9,5.5,drizzle
02-12-2012,1,10,5,2.7,rain
03-12-2012,0,16.7,6.1,3,rain
04-12-2012,0.5,14.4,6.1,4.1,rain
05-12-2012,0,13.3,1.7,7.6,rain
06-12-2012,0,5,-1.1,3.3,sun
07-12-2012,3.3,8.3,-1.7,2.2,rain
08-12-2012,8.6,10,7.8,2.6,rain
09-12-2012,8.1,8.9,5.6,3.9,rain
10-12-2012,6.4,13.3,7.8,3.1,rain
11-12-2012,1.3,12.8,5,5.2,rain
12-12-2012,0,7.2,1.7,2.9,sun
13-12-2012,0,8.3,0.6,1.8,sun
14-12-2012,0,9.4,0,4.3,sun
15-12-2012,0,9.4,1.1,2.1,sun
16-12-2012,3.3,9.4,5,6.2,rain
17-12-2012,7.1,8.3,5.6,4.8,rain
18-12-2012,20.8,13.3,7.2,5.1,rain
19-12-2012,0,9.4,3.9,8.1,sun
20-12-2012,0,9.4,0,3.7,rain
21-12-2012,18,13.3,2.8,11.4,rain
22-12-2012,0,4.4,2.2,10.2,snow
23-12-2012,0,6.7,1.7,6.1,sun
24-12-2012,2.3,5,0,2.5,snow
25-12-2012,0.5,6.7,-0.6,5.4,rain
26-12-2012,18,6.1,-2.2,7.6,snow
27-12-2012,19.6,7.8,-0.6,10,rain
28-12-2012,0,4.4,-1.1,6.2,sun
29-12-2012,6.6,2.8,-2.2,4.2,snow
30-12-2012,0,2.8,-1.7,10.2,snow
31-12-2012,0,3.9,-2.2,7.1,sun
01-01-2013,0,5,-2.8,6.8,sun
02-01-2013,0,1.7,-5,6.5,sun
03-01-2013,0,0.6,-3.9,5.2,sun
04-01-2013,0,3.9,-1.1,7.3,sun
05-01-2013,0,7.2,0,5.2,sun
06-01-2013,0,7.2,0.6,4.6,snow
07-01-2013,0,8.3,-1.1,3.7,sun
08-01-2013,0,9.4,-1.1,4.7,sun
09-01-2013,0,8.9,0.6,3.5,sun
10-01-2013,0,10,2.8,5.3,sun
11-01-2013,14.7,8.3,0.6,2.8,rain
12-01-2013,1.5,9.4,6.1,2.7,rain
13-01-2013,0.3,8.3,5.6,2.6,drizzle
14-01-2013,0.8,14.4,3.9,4.2,rain
15-01-2013,2.8,3.9,1.7,3.9,rain
16-01-2013,20.8,3.3,0.6,4.2,snow
17-01-2013,0,7.8,2.2,5.2,sun
18-01-2013,0,2.2,-3.9,5.8,snow
19-01-2013,0,11.1,-0.6,7.2,sun
20-01-2013,0,13.3,-0.6,8.1,sun
21-01-2013,0.8,0.6,-3.3,3.8,snow
22-01-2013,0,-2.2,-10,8.2,snow
23-01-2013,0,-6.1,-11.1,6.2,sun
24-01-2013,0,-3.3,-10.6,6.9,sun
25-01-2013,1.3,-4.4,-10,4,snow
26-01-2013,0,-2.8,-10,5.7,sun
27-01-2013,0,1.7,-7.8,4.2,sun
28-01-2013,4.8,1.7,-4.4,3.8,snow
29-01-2013,0.8,8.9,1.1,3.2,rain
30-01-2013,0.8,11.1,5,7.6,rain
31-01-2013,11.4,13.3,-1.1,12.9,snow
01-02-2013,0,0.6,-4.4,8.8,snow
02-02-2013,0.5,-0.6,-6.7,5.9,snow
03-02-2013,0.8,0,-5.6,3.2,snow
04-02-2013,0,0,-4.4,7.1,sun
05-02-2013,0.3,0,-2.2,2.5,snow
06-02-2013,0,5,-1.7,5.4,snow
07-02-2013,0,0.6,-5,3.1,sun
08-02-2013,19.8,2.2,-2.8,8.9,snow
09-02-2013,4.6,0,-6.1,9.1,snow
10-02-2013,0,1.1,-8.3,2.6,drizzle
11-02-2013,11.7,7.2,1.1,3.2,rain
12-02-2013,0,8.3,2.8,6.4,sun
13-02-2013,0.3,6.1,-2.2,2.3,snow
14-02-2013,0,7.2,0,3.9,snow
15-02-2013,0,9.4,0,3.7,rain
16-02-2013,0,7.2,-0.6,6.3,snow
17-02-2013,0,1.1,-7.8,12.1,sun
18-02-2013,0,2.2,-7.8,7.3,sun
19-02-2013,3.3,7.2,-0.6,6.9,rain
20-02-2013,0,3.9,-3.3,9.5,sun
21-02-2013,0,2.8,-4.4,9.3,sun
22-02-2013,0,3.3,-3.3,4.2,snow
23-02-2013,9.7,6.7,2.2,5.2,rain
24-02-2013,0.8,9.4,1.1,7.2,drizzle
25-02-2013,0,7.8,-0.6,3.8,sun
26-02-2013,2.5,6.7,-0.6,5.7,rain
27-02-2013,15.2,9.4,3.3,8,rain
28-02-2013,0,10.6,4.4,4.1,rain
01-03-2013,0,8.3,2.2,5.8,sun
02-03-2013,0,5,0,5.5,snow
03-03-2013,0,5.6,-1.7,6.6,snow
04-03-2013,0,6.7,-2.8,8.9,sun
05-03-2013,0,8.9,-0.6,4.6,sun
06-03-2013,0,7.2,1.7,10.5,snow
07-03-2013,1.8,3.9,0.6,9.6,snow
08-03-2013,6.9,4.4,-0.6,8.3,snow
09-03-2013,0,12.8,1.1,5.6,sun
10-03-2013,0,6.1,-0.6,3.2,sun
11-03-2013,0,11.1,3.9,4.4,sun
12-03-2013,16.8,11.7,6.1,8.4,rain
13-03-2013,0,11.7,3.3,5.5,sun
14-03-2013,0,5.6,-1.1,10.1,sun
15-03-2013,0,8.9,-1.1,6.4,sun
16-03-2013,0.5,5,0.6,3.1,snow
17-03-2013,0,3.9,-1.1,5.5,sun
18-03-2013,11.9,2.2,-3.3,6.4,snow
19-03-2013,11.7,7.2,1.7,6.2,rain
20-03-2013,0,8.3,0,6.9,sun
21-03-2013,0,3.9,-0.6,5.6,snow
22-03-2013,0,6.7,-1.7,6.3,sun
23-03-2013,0,8.9,0,8.2,sun
24-03-2013,0,8.3,0,3.9,sun
25-03-2013,6.4,4.4,1.1,4.3,snow
26-03-2013,0,11.7,2.2,4.2,rain
27-03-2013,0,12.2,1.7,6.5,sun
28-03-2013,0,11.7,2.8,6.5,rain
29-03-2013,0,13.3,5,5.7,sun
30-03-2013,0,14.4,3.9,4.2,sun
31-03-2013,3,11.1,1.7,4.9,rain
01-04-2013,0,17.2,2.8,6.7,sun
02-04-2013,0,7.2,0.6,7.3,sun
03-04-2013,0,8.9,0.6,8.1,sun
04-04-2013,0,7.2,0,5.2,sun
05-04-2013,0,17.8,4.4,5.6,sun
06-04-2013,0,9.4,2.2,5.7,sun
07-04-2013,0,11.1,2.8,7.3,sun
08-04-2013,0,20,5.6,3.1,sun
09-04-2013,0,28.3,8.3,3,sun
10-04-2013,15,21.7,11.7,4.1,sun
11-04-2013,0,15.6,8.3,5.1,sun
12-04-2013,22.1,8.9,5,8.1,sun
13-04-2013,0.3,14.4,3.9,4,fog
14-04-2013,0,15,7.2,5.1,sun
15-04-2013,0,11.7,6.1,3.6,drizzle
16-04-2013,0,14.4,7.2,6.5,sun
17-04-2013,0.3,21.1,8.3,3.4,sun
18-04-2013,0,13.9,7.2,5.4,sun
19-04-2013,1.8,18.3,10,9.3,sun
20-04-2013,4.6,15,7.2,7.7,fog
21-04-2013,0,12.2,2.8,4.7,sun
22-04-2013,0,11.7,2.8,6.9,sun
23-04-2013,0,11.1,5.6,6.5,sun
24-04-2013,0,14.4,5.6,6.2,sun
25-04-2013,0,17.8,7.8,6.8,sun
26-04-2013,0,18.3,6.1,3.8,sun
27-04-2013,0,18.9,7.8,4,sun
28-04-2013,0,17.2,7.2,3.8,sun
29-04-2013,1.3,12.8,10,3.9,sun
30-04-2013,0,17.2,7.8,4.3,sun
01-05-2013,0,18.3,6.1,3.5,sun
02-05-2013,0,17.2,6.7,2.7,sun
03-05-2013,0,16.1,8.3,3.8,sun
04-05-2013,0,17.8,7.2,4,sun
05-05-2013,0,13.9,6.7,4.6,sun
06-05-2013,0,16.7,7.2,2.5,sun
07-05-2013,0,22.2,8.9,3.7,drizzle
08-05-2013,39.1,17.8,12.8,4.5,sun
09-05-2013,19.1,21.1,12.8,3.4,sun
10-05-2013,0,24.4,12.2,4.3,sun
11-05-2013,9.9,18.3,15,6,sun
12-05-2013,0.5,21.1,10.6,8.2,fog
13-05-2013,0,14.4,7.8,7.3,sun
14-05-2013,0,15.6,6.1,5.1,sun
15-05-2013,0.8,16.7,8.9,5.1,sun
16-05-2013,0,23.3,13.3,3.8,fog
17-05-2013,0,22.8,12.8,3.9,sun
18-05-2013,0.3,17.2,12.2,2.6,sun
19-05-2013,11.4,14.4,12.8,4.8,sun
20-05-2013,0,22.2,13.9,3.2,sun
21-05-2013,0,25,15.6,4,sun
22-05-2013,0,22.2,14.4,3.4,sun
23-05-2013,0.8,21.7,16.1,8.1,sun
24-05-2013,5.1,20.6,7.8,6.1,fog
25-05-2013,1.8,13.9,7.2,9.8,fog
26-05-2013,0,20,8.9,7.9,sun
27-05-2013,0,21.1,8.9,5.1,sun
28-05-2013,13.7,20,11.7,2.4,fog
29-05-2013,0,23.9,13.3,2.2,sun
30-05-2013,0,30,17.2,3.8,sun
31-05-2013,0,28.9,18.3,4.6,sun
01-06-2013,0,26.1,17.8,5.2,sun
02-06-2013,0.3,23.3,17.2,5.8,fog
03-06-2013,9.4,24.4,16.7,3.8,sun
04-06-2013,0,24.4,15,5.9,drizzle
05-06-2013,0,21.7,13.9,4.1,sun
06-06-2013,0.8,21.7,14.4,4.3,sun
07-06-2013,101.9,17.8,15.6,6,fog
08-06-2013,9.7,24.4,13.9,5,fog
09-06-2013,0,25.6,17.8,3.2,sun
10-06-2013,35.1,20.6,17.2,4.6,sun
11-06-2013,0.5,27.2,18.3,7.5,sun
12-06-2013,0,25.6,16.1,6.8,sun
13-06-2013,25.1,18.9,13.3,6.3,sun
14-06-2013,3.8,22.2,12.2,5.9,fog
15-06-2013,0,27.8,16.7,4,sun
16-06-2013,0,26.7,16.7,4.7,sun
17-06-2013,3.3,27.8,19.4,4.2,sun
18-06-2013,5.1,25.6,18.3,2.9,sun
19-06-2013,0,25,15.6,4.6,fog
20-06-2013,0,23.3,15,5,sun
21-06-2013,0,24.4,15,4.9,sun
22-06-2013,0,25,16.1,4.4,sun
23-06-2013,0.8,26.7,18.3,4.8,fog
24-06-2013,0,32.2,21.1,4.8,sun
25-06-2013,0,32.8,21.1,5,sun
26-06-2013,2.5,29.4,21.7,4.9,sun
27-06-2013,3.3,28.9,21.7,4,sun
28-06-2013,0,27.8,21.7,5.8,sun
29-06-2013,0,26.7,20.6,5.3,sun
30-06-2013,0.5,27.2,20.6,4.3,sun
01-07-2013,24.9,25.6,21.7,5.1,sun
02-07-2013,6.4,26.1,21.7,5.4,sun
03-07-2013,2.3,27.2,21.1,4.3,sun
04-07-2013,0,28.9,22.2,4.7,fog
05-07-2013,0,30.6,22.8,4.7,sun
06-07-2013,0,33.9,23.9,5,sun
07-07-2013,0,31.1,25.6,4.7,sun
08-07-2013,0,30.6,23.3,5.8,sun
09-07-2013,0,30.6,22.8,4.5,sun
10-07-2013,1.5,29.4,22.2,4,sun
11-07-2013,0,31.1,22.8,3.1,sun
12-07-2013,6.9,26.1,21.1,5.5,fog
13-07-2013,0,29.4,21.7,3.4,fog
14-07-2013,0,31.7,22.8,5,fog
15-07-2013,0,36.1,25,3,sun
16-07-2013,0,35.6,25.6,4.7,sun
17-07-2013,0,35,26.1,3.2,sun
18-07-2013,0,37.8,25,4.1,sun
19-07-2013,0,35,26.7,5.2,sun
20-07-2013,0.5,35.6,25,6.2,sun
21-07-2013,0,31.1,23.9,3.7,sun
22-07-2013,2.3,30,23.3,3.4,sun
23-07-2013,10.2,30.6,22.8,5,sun
24-07-2013,0,31.1,21.1,4.8,sun
25-07-2013,0.8,21.1,17.2,6,sun
26-07-2013,0,28.9,17.8,4.8,sun
27-07-2013,0,27.2,20,3.7,sun
